,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
goal_inProgress,0.09688924799345075,1.479154449139481e-07,0.5036231884057971,6.64165,215.0,0.0546870590891133,3.0230286089815964e-07,0.8550724637681161,6.0324,1153.0,0.0616978640802881,2.6177545450803287e-07,0.7101449275362319,5.70345,10108.0,,,,,,inProgress
goal_original,0.1010928961748633,1.4628943501856933e-07,0.4057971014492754,6.4018,10257.0,0.0824123575495056,1.914748045215489e-07,0.5909090909090909,5.87595,13216.0,0.0779503191228159,2.3158614127789002e-07,0.6811594202898551,5.60295,41633.0,,,,,,original
teuf_inProgress,0.0910468319559228,1.344323097563791e-07,0.2753623188405797,6.1085,75.0,0.0709243184446651,1.7005868823728602e-07,0.4782608695652176,6.7021,1176.0,0.0654905105586741,2.117242431287201e-07,0.5909090909090909,6.2536,1122.0,,,,,,inProgress
teuf_original,0.1068217874140666,1.353435836201561e-07,0.3623188405797102,6.4643,1271.0,0.0913773796192609,1.6987303376025417e-07,0.5609756097560977,6.605,7501.0,0.0811406147713628,2.683179970697973e-07,0.927536231884058,6.55935,6107.0,,,,,,original
feed_inProgress,0.1141055023407964,1.603639617885334e-07,0.7073170731707318,5.0788,2332.0,0.08504722434816415,3.2582339202974225e-07,1.1014492753623188,5.97365,7557.0,0.0799732503822504,3.5572724802440164e-07,1.3835277483209616,5.35155,1574.0,,,,,,inProgress
feed_original,0.13070828992117006,1.19505990276095e-07,0.6086956521739132,4.4299,2365.0,0.1130268199233716,2.0559835219211778e-07,1.097560975609756,4.6919,3462.0,0.0948120300751879,3.368129186659044e-07,1.4634146341463417,5.181,535.0,,,,,,original
bise_inProgress,0.1057807211184694,1.9798876876921764e-07,0.5909090909090909,6.7096,3847.0,0.0990157978588764,1.863520137468401e-07,0.6086956521739132,6.2363,4818.0,0.091637877579945,2.202960819988768e-07,0.7272727272727273,5.8731,22967.0,,,,,,inProgress
bise_original,0.0834742180896027,1.60684768533111e-07,0.4347826086956524,7.1782,8311.0,0.08761642657748944,1.7137076571755803e-07,0.5092591907473365,6.92665,7685.0,0.0821419857215149,2.283367987985874e-07,0.6666666666666666,6.42075,26253.0,,,,,,original
jalouses_inProgress,0.0634146341463414,1.3132227890399453e-07,0.1594202898550725,7.4439,17.0,0.0767762607968793,1.8777617990786396e-07,0.4492753623188405,6.87485,502.0,0.07559307596014855,2.464957511211498e-07,0.6164722516790386,6.5680499999999995,431.0,,,,,,inProgress
jalouses_original,0.08151631673147655,1.377012680115553e-07,0.2318840579710145,7.096349999999999,434.0,0.07757626561757135,1.649066220672967e-07,0.4782608695652176,6.91985,6980.0,0.07389482359160945,2.5339235110321925e-07,0.7246376811594202,6.4971499999999995,4102.0,,,,,,original
chacal_inProgress,0.08503189072294759,1.596727584456713e-07,0.4202898550724638,7.6162,194.0,0.0750641573994867,2.011732928885557e-07,0.6341463414634145,7.5444,313.0,0.0740620114643043,2.4629214201955455e-07,0.6956521739130433,6.203,2505.0,,,,,,inProgress
chacal_original,0.0886192314763743,1.559449325253916e-07,0.391304347826087,7.0995,1817.0,0.088235294117647,1.7129180518436265e-07,0.5507246376811595,6.4067,1536.0,0.0831202046035805,2.318675153987185e-07,0.7101449275362319,6.0702,6110.0,,,,,,original
adoooore_inProgress,0.10384054126880796,2.011504916362011e-07,0.8550724637681161,6.6645,181.0,0.08462489953787415,1.936636408103041e-07,0.45191040843214747,6.7635000000000005,268.0,0.07594254625646421,2.1745394967341873e-07,0.8115942028985507,6.5616,1662.0,,,,,,inProgress
adoooore_original,0.1021528371827773,1.410300442740373e-07,0.3623188405797102,5.9106,4012.0,0.09442233838035935,1.7736859398250166e-07,0.5072463768115942,5.96035,1815.0,0.0798774050368295,2.2498161278510766e-07,0.7681159420289856,6.01965,5717.0,,,,,,original
deso_inProgress,0.0857142857142857,1.3124612850659108e-07,0.4927536231884059,6.6481,19.0,0.0961298377028714,2.427720271381678e-07,1.1449275362318836,3.7681,263.0,0.0918672553767269,2.3651559293030055e-07,0.9710144927536232,4.3694,1069.0,,,,,,inProgress
deso_original,0.1068217874140666,1.3190794333119888e-07,0.4057971014492754,5.5637,2366.0,0.0952354708761432,1.7356504551104622e-07,0.5853658536585367,5.6598,2600.0,0.0868448299439332,2.047747954326578e-07,0.6829268292682928,5.0999,6276.0,,,,,,original
dérouler_inProgress,0.115414710485133,2.2556751688973698e-07,0.5,10.6131,35.0,0.0880099502487562,5.117685682897831e-07,1.2272727272727275,10.3636,376.0,0.0997902745939618,5.281967630908413e-07,1.5909090909090913,10.69,9153.0,,,,,,inProgress
dérouler_original,0.1090987191502655,1.8115389314903194e-07,0.5909090909090909,6.93075,2192.0,0.0954954954954954,2.997157183680779e-07,0.8181818181818182,8.0908,730.0,0.0982906873729741,3.853074791532045e-07,1.3333333333333337,8.9503,11903.0,,,,,,original
zumba_inProgress,0.12029275390398686,1.5585306872538676e-07,0.34029285608266496,6.8131,62.0,0.0665137614678899,3.191860174166224e-07,0.8115942028985507,6.3314,2232.0,0.0738856589147286,3.283473907907551e-07,0.8260869565217392,6.0864,1211.0,,,,,,inProgress
zumba_original,0.0921651180797522,1.4604528051821417e-07,0.4347826086956524,6.9814,5182.0,0.07713158143401416,2.2338278720455793e-07,0.7101449275362319,6.5432500000000005,6086.0,0.0731529155091328,3.1736855178078817e-07,0.8550724637681161,6.22485,2830.0,,,,,,original
mooooort_inProgress,0.0871287128712871,1.4583509526065388e-07,0.3623188405797102,7.2039,205.0,0.07047998478171755,2.1173809191270026e-07,0.6956521739130433,6.797750000000001,2312.0,0.07367245396456405,2.524221148701187e-07,0.8009897490279252,5.94265,2108.0,,,,,,inProgress
mooooort_original,0.0843852267414679,1.4205615911609225e-07,0.3333333333333333,7.1324,345.0,0.07270448849396215,1.8913872701022615e-07,0.6666666666666666,7.06255,1859.0,0.06270277503288285,2.945223890466255e-07,0.8115942028985507,6.35875,1424.0,,,,,,original
vocaux_inProgress,0.069786388474913,2.15036323281745e-07,0.7826086956521738,6.6472,236.0,0.0609880123650471,2.9353978244304474e-07,0.7391304347826088,6.7664,1140.0,0.06213568247203165,2.9500746398009505e-07,0.6811594202898551,6.5363500000000005,1523.0,,,,,,inProgress
vocaux_original,0.0834767641996557,1.7974592632304576e-07,0.5365005793742758,7.3544,3186.0,0.0801624610887422,3.2947920555190484e-07,1.1363636363636365,8.3293,3799.0,0.07999097269239444,4.874176818788774e-07,1.5454545454545456,9.52795,2250.0,,,,,,original
ouuuuf_inProgress,0.0733333333333333,1.851014341448615e-07,0.5942028985507247,7.8112,559.0,0.0646532822561462,2.645018756717546e-07,0.9347826086956521,6.8257,816.0,0.06148544293584745,3.260650059602038e-07,0.8913043478260869,5.88705,589.0,,,,,,inProgress
ouuuuf_original,0.0812324929971988,1.5761875661682124e-07,0.4782608695652176,7.1018,4668.0,0.0735479659141882,2.1191948179195008e-07,0.753623188405797,6.3889499999999995,3979.0,0.0672035906793347,2.8639648179196185e-07,0.902439024390244,5.9579,2369.0,,,,,,original
flou_inProgress,0.06766336315722925,1.9050407352849292e-07,0.5434782608695653,8.17095,483.0,0.0702947845804988,2.4104869807433365e-07,0.6956521739130433,6.1426,5021.0,0.0782451379466304,2.301753080853468e-07,0.6956521739130433,5.4684,20271.0,,,,,,inProgress
flou_original,0.0946781007299516,1.850529929670056e-07,0.5909090909090909,7.21235,16939.0,0.08515620869335824,2.5817494017583447e-07,0.8260869565217392,6.88565,12233.0,0.08663755773519316,2.709128976106207e-07,0.8840579710144926,6.35065,34125.0,,,,,,original
