form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,redchi,chisqr
laptop,32.49930961981863,40.44242046191126,20.718348670560253,60.266929731168354,0.029139206503873312,0.025525187962760664,5.866692915406398e-05,0.003344014961781647
labo,20.308245625384615,4.679842595043905,236.15586832338963,57041.57687351289,294.5126363264953,823923.3092408131,2.4936735270978922e-05,0.0014213939104457986
inventeur,4.668803337984421,2.5582748107336872,10.687555603516188,2.7463791058888734,0.020147427920819038,0.0016855256358284537,8.87902003173862e-05,0.005061041418091013
george,0.8626054393967759,0.8865751972753826,4.560551656546294,1.0095888938999529,0.017700857498070193,0.0010782139896813455,6.019713576933971e-05,0.0034312367388523637
cuit,0.9332429669395437,0.667052429011863,4.211028597109435,0.7589064043203841,0.01780240852989003,0.0007820769950208826,3.172388883048579e-05,0.00180826166333769
reveille,8.663410194825941,0.6545983186640775,27.721244974372105,0.865439671721751,0.03046081494581998,0.0008832284997939781,4.191051655283429e-06,0.00023888994435115548
bond,6.397395707601943,6.766648411820525,24.031173121413023,8.093150882909395,0.026961907464502746,0.007462001567093674,0.0007167774510630204,0.040856314710592166
matt,2.8598330877206193,1.2787303654586117,3.0149211833764884,1.1986558433058778,0.017738491415003745,0.0006678709850340602,2.0098812934932346e-05,0.0011456323372911437
crane,30.063320481759167,8.602091960835054,283.2351924264884,27314.153122565844,63.539683567297885,57399.923178000165,1.5339386317054786e-05,0.0008743450200721228
crevé,15.825777478475327,2.4850842068792565,72.77534649624756,20.55121889426723,0.17059986390470827,0.1460715540028118,1.6679142905141558e-05,0.0009507111455930688
cafés,34.091740592976755,24.679288734726942,387.42512304299186,662845.1368696078,516.1298602319537,9989364.872216932,6.7564998240965e-05,0.0038512048997350057
mettant,14.620616212300295,3.3992280000253947,206.2979223705498,163748.9985241091,1399.1222974616096,15613233.35268994,3.7586388554133146e-05,0.002142424147585589
sympas,10.09980403112578,1.2432701068490235,60.79767056762431,6.616809286375778,0.14189016508574345,0.052907854363693226,1.585427912817308e-05,0.0009036939103058655
cops,0.6325251070007141,,-24.032335232007345,,0.016424758091450727,,8.796963785578132e-05,0.005014269357779535
naze,13.267808880023079,1.4400122411857974,47.60387013072779,4.3239995415216095,0.06003601791752035,0.008987517088520944,9.100848097254874e-06,0.0005187483415435278
améliorer,15.97466884631136,4.658353635849974,205.92853159560394,93133.44097800484,560.1268444035154,3251651.911512603,5.6405131332748976e-05,0.0032150924859666915
productivité,41.84049883964438,58.54552373099377,460.5986451042067,1423088.1523981749,437.3809580769717,14792721.169846503,0.0001270600967689062,0.007242425515827653
bazar,4.590239997144133,1262101593144.359,-2381.2612078357097,33662412678916.41,0.01626039304503417,0.005218810420744439,8.730492126126904e-05,0.004976380511892336
bouffé,18.902078575427453,2.6435603957893044,80.46178450047923,25.92704694498429,0.18705828923325934,0.17754083697006498,1.0100164920826454e-05,0.0005757094004871079
laver,14.308867277862444,1.8139348683538614,44.763323273225815,5.029170223280262,0.05259560898636525,0.008282697943595745,1.0733901636895794e-05,0.0006118323933030602
linge,27.350565836588558,10.568260182370764,351.4187460143342,867555.938640253,1682.1201328357586,53146998.29138948,3.512393035432166e-05,0.0020020640301963346
-être,14.990965950638186,2.77751440655676,204.96105487215308,95505.13129725453,998.6089292526325,6341251.438092287,2.40934138754946e-05,0.0013733245909031922
tri,26.23010799561561,11.021743224199698,338.9289988653411,895619.009672858,1703.5708859412684,57949743.077803046,4.5627588584572996e-05,0.002600772549320661
salop,30.337683990265223,8.286733623120984,363.85926287089603,348915.39975092775,835.8455097268785,9582905.089246307,1.3496854793788379e-05,0.0007693207232459376
alain,0.5950929378096617,1.2380158559251115,26.458318735404017,1.4307726799617086,0.026817683582800667,0.0035917856444408892,0.00039816934362561297,0.02269565258665994
matter,12.421205842085032,2.727214042606765,39.45941146645362,5.938619050779292,0.0451224512024428,0.008736546303681465,3.694005002344081e-05,0.002105582851336126
premiere,1.3216343077933415,0.7295470300119999,16.18049051155789,0.833153201121452,0.021403505121501493,0.0009955800698866442,3.813952185787386e-05,0.00217395274589881
twiter,11.790002799500993,1.920709702547534,46.076133810862906,5.204693707043631,0.05763092290823194,0.01117709914674158,2.2675340323076576e-05,0.0012924943984153649
réparé,23.756921489132942,5.040732421887368,303.1256889997894,282837.32840355183,1233.9453613781736,14639881.879385484,1.5064142282638284e-05,0.0008586561101103823
jacques,18.933577876479287,5.5524604521014185,30.70446056722895,10.285770935153446,0.03352165492551672,0.007712001745623737,2.228385316907696e-05,0.001270179630637387
malcolm,57.38248926548522,76.66474022609282,549.9346427552617,596518.7437302235,136.65572436935815,1413384.0459004808,4.045700314011444e-05,0.002306049178986523
installer,19.336843358888938,6.1918670197004015,231.82117603567937,94001.9293762084,371.4055016253496,1797543.1365336792,5.061152875507861e-05,0.0028848571390394807
aimerait,45.12170649496035,35.144726456500884,477.73146513292147,607842.4159155621,310.95936891831485,4171567.936012243,3.1425561193540326e-05,0.0017912569880317987
else,16.681328790036158,3.743073873050621,50.85939664792148,13.196457501470846,0.06177276033586691,0.024093324224246263,2.739345947425814e-05,0.001561427190032714
ptet,22.28042233045383,5.837818318229157,297.5185240106494,509124.0552708401,1977.2713298027027,45030195.661261424,2.629025227678024e-05,0.0014985443797764736
lessive,14.542708679998913,5.993499296284098,189.3271135693055,94902.5306978176,463.8133111050092,3011523.73001417,0.00011932506563438286,0.006801528741159823
retournement,35.581202815579566,37.816071696155504,418.1192226071745,1584118.7557941342,777.7055696866546,34436307.640939504,0.00012073223309021504,0.006881737286142257
caleçon,82.4875594486079,1.8753440309750795e+27,-2131.8923183588267,5.513759388292018e+28,0.016440568475458717,0.0014990824335625772,0.00011313365565430544,0.00644861837229541
recommandé,45.954605057615495,42.72021917434097,540.850398712851,2452423.927032814,1017.9378649834863,54102044.271924615,3.9861179069490074e-05,0.0022720872069609344
poursuit,14.717001127008492,3.2477938781883164,20.731081973180707,3.88675762091702,0.026761148557380803,0.002652271867286141,1.4747430845731267e-05,0.0008406035582066823
click,19.957840133559227,2.9142589746255387,71.1970074394545,19.650878090240443,0.11629617418987388,0.07102680071162547,9.385287050621726e-06,0.0005349613618854383
documents,18.24484222922203,3.8533409428976966,256.9779519454775,397417.54972716654,2644.9369705784748,57398599.925213434,2.531995081007774e-05,0.0014432371961744313
